"Año","Rosas"
"2015","1234"
"2015","4579"
"2015","2345"
"2015","1789"
"2015","900"
"2015","1357"
"2015","2573"
"2015","3630"
"2015","3689"
"2015","2469"
"2015","1267"
"2015","1987"
"2016","2321"
"2016","2125"
"2016","3212"
"2016","2505"
"2016","600"
"2016","789"
"2016","1064"
"2016","2346"
"2016","1643"
"2016","2321"
"2016","1567"
"2016","3457"
"2017","1996"
"2017","5345"
"2017","3567"
"2017","4532"
"2017","452"
"2017","706"
"2017","1345"
"2017","689"
"2017","956"
"2017","2154"
"2017","1256"
"2017","2341"
